number,study,date,authors,title,journal,year,topic_raw,topic,topic_description,measures,measures_order,stimClass_raw,stimClass,visualMoving,stimType,design,subComp,location,sleeping,study_description,brainRegions_raw,measures_raw,numberSegment_raw,numberSegments,durationSegment_raw,durationSegment,completedSegment,completedDuration,length,age_raw,age,ageRange_raw,ageRange,newborn,female,femaleProp,characteristics,preterm,groupType,inclusionCriteria,manufacturer,version,detectors,channels,recruited,excludedBaby,excludedSig,excludedExp,excludedOther,finalSample_raw,finalSample,includeOverall,includeReasons,attrition,attritionBaby,attritionSig,attritionExp
1a,1,6/29/20,"Abboub, Nawal; Nazzi, Thierry; Gervain, Judit",Prosodic grouping at birth,Brain and Language,2016,C,C,Neural correlates of prosodic grouping bias in newborns with monolingual vs. bilingual language exposure,A,A,C,A,,G,A,"A,C",hospital,awake,"24 blocks (8 to 12s each, 8 per condition - consistent, inconsistent, no change), each block consisted of 6 tone pairs separated by 480ms pauses, variable 26 to 32s silent baseline between blocks, tone pair grouping patterns varied in duration","A,B,D",A,24,24,8 to 12,10,Not reported ,16-17 mins,240,2.05 days,0.068333333,1 to 4 days,Newborn,newborn,13,0.722222222,Monolingual French,full-term,td,"healthy, full-term, Apgar score at least 8, and born to French-speaking family",NIRx,NIRScout 816,10,24,25,5,2,0,0,18,18,1,1,0.28,0.2,0.08,NA
1b,1,6/29/20,"Abboub, Nawal; Nazzi, Thierry; Gervain, Judit",Prosodic grouping at birth,Brain and Language,2016,C,C,Neural correlates of prosodic grouping bias in newborns with monolingual vs. bilingual language exposure,A,A,C,A,,G,A,"A,C",hospital,awake,"24 blocks (8 to 12s each, 8 per condition - consistent, inconsistent, no change), each block consisted of 6 tone pairs separated by 480ms pauses, variable 26 to 32s silent baseline between blocks, tone pair grouping patterns varied in intensity","A,B,D",A,24,24,8 to 12,10,Not reported ,16-17 mins,240,2.28 days,0.076,1 to 4 days,Newborn,newborn,11,0.611111111,Monolingual French,full-term,td,"healthy, full-term, Apgar score at least 8, and born to French-speaking family",NIRx,NIRScout 816,10,24,26,8,0,0,0,18,18,1,1,0.307692308,0.307692308,NA,NA
1c,1,6/29/20,"Abboub, Nawal; Nazzi, Thierry; Gervain, Judit",Prosodic grouping at birth,Brain and Language,2016,C,C,Neural correlates of prosodic grouping bias in newborns with monolingual vs. bilingual language exposure,A,A,C,A,,G,A,"A,C",hospital,awake,"24 blocks (8 to 12s each, 8 per condition - consistent, inconsistent, no change), each block consisted of 6 tone pairs separated by 480ms pauses, variable 26 to 32s silent baseline between blocks, tone pair grouping patterns varied in pitch","A,B,D",A,24,24,8 to 12,10,Not reported ,16-17 mins,240,2.86 days,0.095333333,2 to 5 days,Newborn,newborn,12,0.666666667,Monolingual French,full-term,td,"healthy, full-term, Apgar score at least 8, and born to French-speaking family",NIRx,NIRScout 816,10,24,36,11,4,3,0,18,18,1,1,0.5,0.305555556,0.111111111,0.083333333
1d,1,6/29/20,"Abboub, Nawal; Nazzi, Thierry; Gervain, Judit",Prosodic grouping at birth,Brain and Language,2016,C,C,Neural correlates of prosodic grouping bias in newborns with monolingual vs. bilingual language exposure,A,A,C,A,,G,A,"A,C",hospital,awake,"24 blocks (8 to 12s each, 8 per condition - consistent, inconsistent, no change), each block consisted of 6 tone pairs separated by 480ms pauses, variable 26 to 32s silent baseline between blocks, tone pair grouping patterns varied in pitch","A,B,D",A,24,24,8 to 12,10,Not reported ,16-17 mins,240,2.17 days,0.072333333,1 to 4 days,Newborn,newborn,12,0.666666667,Bilingual,full-term,td,"healthy, full-term, Apgar score at least 8, 40-60% exposure to French and another language",NIRx,NIRScout 816,10,24,42,13,8,3,0,18,18,1,1,0.571428571,0.30952381,0.190476191,0.071428571
2,2,4/9/20,"Altvater-Mackensen, Nicole; Grossmann, Tobias",The role of left inferior frontal cortex during audiovisual speech perception in infants,NeuroImage,2016,"C,B",C,Audiovisual speech with matching or mismatching auditory and visual speech cues,"A,C",A,"B,C",AV,moving,"A,D",B,A,lab,awake,4 example videos (20s each) + up to 16 speech & non-speech vids (15s each),A,A,32,32,15,15,26,900,480,5.73,5.73,5.5 to 6,5.5 to 6,non-newborn,15,0.5,German,full-term,td,"monolingual, full-term, normal birth weight, no visual/hearing impairment",NIRx,NIRScout,16,49,36,6,0,0,0,30,30,1,1,0.166666667,0.166666667,NA,NA
3,3,4/20/20,"Altvater-Mackensen, Nicole; Grossmann, Tobias",Modality-independent recruitment of inferior frontal cortex during speech processing in human infants,Developmental Cognitive Neuroscience,2018,"C,E",C,Frontal lobe activation during unimodal and multimodal speech perception,A,A,"B,C",AV,moving,"A,D,G",B,A,lab,awake,3 example videos (45s each) + up to 18 speech & non-speech vids (15s each),A,A,18,18,30,30,15,450,540,5.79,5.79,5.5 to 6 ,5.5 to 6,non-newborn,13,0.464285714,German ,full-term,td,"monolingual, full-term, normal birth weight, no visual/hearing impairment",NIRx,NIRScout,16,49,43,8,3,4,0,28,28,1,1,0.348837209,0.186046512,0.069767442,0.093023256
5a,5,6/29/20,"Aoyama, Shiori; Toshima, Tamotsu; Saito, Yuri; Konishi, Nakao; Motoshige, Kyoko; Ishikawa, Nobutsune; Nakamura, Kazuhiro; Kobayashi, Masao",Maternal breast milk odour induces frontal lobe activation in neonates: A NIRS study,Early Human Development,2010,I - Olfaction,I - Olfaction,Frontal cortex responses to maternal breastmilk vs. formula odor and odor intensity in neonates,A,A,G - Odors,Other,,I - gauze soaked with breastmilk or formula (study 1) and gamma undecalactone diluted with paraffin (study 2),A,A,hospital,sleeping,"Newborns tested while sleeping in their cribs, exposed to 2 odors (maternal breastmilk and artificial formula) soaked on gauze and held 1cm away from nose (blocks constisted of 60s pre-stimulus baseline + 30s odor stimulation + 60s relaxation period)",A,A,2,2,30,30,Not reported ,Not reported ,60,5 days,0.166666667,2 to 9 days,Newborn,newborn,14,0.538461538,Japanese ,full-term,td,"healthy, no medical supports needed",Hamamatsu ,NIRO 200,NA,2,34,0,8,0,0,"26 (14 in breast-feeding group, 12 in mixed-feeding group)",26,1,1,0.235294118,NA,0.235294118,NA
5b,5,6/29/20,"Aoyama, Shiori; Toshima, Tamotsu; Saito, Yuri; Konishi, Nakao; Motoshige, Kyoko; Ishikawa, Nobutsune; Nakamura, Kazuhiro; Kobayashi, Masao",Maternal breast milk odour induces frontal lobe activation in neonates: A NIRS study,Early Human Development,2010,I - Olfaction,I - Olfaction,Frontal cortex responses to maternal breastmilk vs. formula odor and odor intensity in neonates,A,A,G - Odors,Other,,I - gauze soaked with breastmilk or formula (study 1) and gamma undecalactone diluted with paraffin (study 2),A,A,hospital,sleeping,"Newborns tested while sleeping in their cribs, study 1 consisted of exposure to 2 odors (maternal breastmilk and artificial formula) soaked on gauze and held 1cm away from nose (blocks constisted of 60s pre-stimulus baseline + 30s odor stimulation + 60s relaxation period), study 2 consisted of exposure to the same odor (gamma undecalactone) in 2 different intensities (blocks consisted of 40s pre-stimulus baseline + 20s odor stimulation + 40s relaxation period), infants were assigned to breast-feeding group or mixed-feeding group based on parent-reported feeding experience",A,A,2,2,30,30,Not reported ,Not reported ,60,3.7 days,0.123333333,2 to 8 days,Newborn,newborn,Not reported,NA,Japanese ,full-term,td,"healthy, no medical supports needed",Hamamatsu ,NIRO 200,NA,2,31,0,13,0,0,"18 (6 in breast-feeding group, 12 in mixed-feeding group)",18,1,1,0.419354839,NA,0.419354839,NA
6,6,4/20/20,"Arimitsu, Takeshi; Uchida-Ota, Mariko; Yagihashi, Tatsuhiko; Kojima, Shozo; Watanabe, Shigeru; Hokuto, Isamu; Ikeda, Kazushige; Takahashi, Takao; Minagawa-Kawai, Yasuyo",Functional hemispheric specialization in processing phonemic and prosodic auditory changes in neonates,Frontiers in Psychology,2011,C,C,Functional lateralization in processing phonemic and prosodic contrasts of speech in neonates,A,A,C,A,,D,A,C,hospital,awake,Alternating block design (baseline: 15 speech sequences (1s each) +  phonemic or prosodic contrast: 15 speech sequences (1s each)),"A,B,D",A,28,28,15,15,Not reported ,Not reported ,420,4.8 days ,0.16,3 to 8 days,Newborn,newborn,10,0.588235294,Japanese ,full-term,td,"monolingual, full-term, normal birthweight, no history of medical problems",Hitachi,ETG 4000,8,24,24,4,0,0,0,"17 (14 for phonemic condition, 15 for prosodic condition)",17,1,1,0.291666667,0.166666667,NA,NA
7a,7,4/20/20,"Arri, S. J.; Muehlemann, T.; Biallas, M.; Bucher, H. U.; Wolf, M.",Precision of cerebral oxygenation and hemoglobin concentration measurements in neonates measured by near-infrared spectroscopy,Journal of Biomedical Optics,2011,H,H,Precision of measurements of cerebral oxygen saturation and total hemoglobin concentration in full-term and pre-term neonates,A,A,F,None,,H,C,C,hospital,sleeping,5 to 15 measurements from resting or sleeping neonates (1min each),"B,D",A,5 to 15 ,NA,60,60,5 to 15 ,<20 mins ,NA,4 days,0.133333333,2 to 18 days,Newborn,non-newborn,Not reported ,NA,None,full-term,td,"no severe birth asphyxia, neurological abnormalities, or malformations",OxiplexTS,Not reported ,2,NA,Not reported ,NA,Not reported ,Not reported ,Not reported,36,36,0,0,NA,NA,NA,NA
7b,7,4/20/20,"Arri, S. J.; Muehlemann, T.; Biallas, M.; Bucher, H. U.; Wolf, M.",Precision of cerebral oxygenation and hemoglobin concentration measurements in neonates measured by near-infrared spectroscopy,Journal of Biomedical Optics,2011,H,H,Precision of measurements of cerebral oxygen saturation and total hemoglobin concentration in full-term and pre-term neonates,A,A,F,None,,H,C,C,hospital,sleeping,5 to 15 measurements from resting or sleeping neonates (1min each),"B,D",A,5 to 15 ,NA,60,60,5 to 15 ,<20 mins ,NA,15 days,0.5,4 to 60 days,Newborn,non-newborn,Not reported ,NA,Preterm (25.6 to 35.7 weeks gestation),preterm,td_risk,"no severe birth asphyxia, neurological abnormalities, or malformations",OxiplexTS,Not reported ,2,NA,Not reported ,NA,Not reported ,Not reported ,Not reported,27,27,0,0,NA,NA,NA,NA
10a,10,4/21/20,"Bartocci, M.; Winberg, J.; Papendieck, G.; Mustica, T.; Serra, G.; Lagercrantz, H.",Cerebral hemodynamic response to unpleasant odors in the preterm newborn measured by near-infrared spectroscopy,Pediatric Research,2001,I - Olfaction,I - Olfaction,"Oflactory cortex response to unpleasant, artificial odors in preterm newborns",A,A,G - Odors,Other,,I - Disinfectant and detergent applied to cotton pads,B,"A,C",hospital,awake,disinfectant group: 30s baseline + 10s odor stimulus presentation (cotton pad held 2cm away from nose) + 20s return to baseline,A,A,1,1,10,10,Not reported ,Not reported ,10,12.5 days ,0.416666667,0.75 to 35 days,Newborn,newborn,Not reported ,NA,Preterm (30 to 37 weeks gestation age),preterm,td_risk,"stable condition, breathing spontaneously, fed with mother's milk, at least 2h since last meal, normal cranial ultrasound",Hamamatsu,NIRO 300,1,2,18,0,3,0,0,15,15,1,1,0.166666667,NA,0.166666667,NA
10b,10,4/21/20,"Bartocci, M.; Winberg, J.; Papendieck, G.; Mustica, T.; Serra, G.; Lagercrantz, H.",Cerebral hemodynamic response to unpleasant odors in the preterm newborn measured by near-infrared spectroscopy,Pediatric Research,2001,I - Olfaction,I - Olfaction,"Oflactory cortex response to unpleasant, artificial odors in preterm newborns",A,A,G - Odors,Other,,I - Disinfectant and detergent applied to cotton pads,B,"A,C",hospital,awake,detergent group: 30s baseline + 10s odor stimulus presentation (cotton pad held 2cm away from nose) + 20s return to baseline,A,A,1,1,10,10,Not reported ,Not reported ,10,12.5 days ,0.416666667,0.75 to 35 days,Newborn,newborn,Not reported ,NA,Preterm (30 to 37 weeks gestation age),preterm,td_risk,"stable condition, breathing spontaneously, fed with mother's milk, at least 2h since last meal, normal cranial ultrasound",Hamamatsu,NIRO 300,1,2,12,0,7,0,0,5,5,1,1,0.583333333,NA,0.583333333,NA
11,11,4/21/20,"Bartocci, M.; Winberg, J.; Ruggiero, C.; Bergqvist, L. L.; Serra, G.; Lagercrantz, H.",Activation of olfactory cortex in newborn infants after odor stimulation: A functional near-infrared spectroscopy study,Pediatric Research,2000,I - Olfaction,I - Olfaction,Olfactory cortex activation during odor stimulus presentation in newborns,A,A,G - Odors,Other,,"I - Mother's colostrum, vanilla, and water applied to cotton pads",B,"A,C",hospital,awake,30s baseline + 3  30s odor stimulus presentation (cotton pad held 1-2cm away from nose with 2min ISI),A,A,3,3,30,30,Not reported ,Not reported ,90,48 hours ,0.066666667,6 to 192 hours ,Newborn,newborn,11,0.47826087,None ,full-term,td,"full-term, vaginal birth, nonsmoking mothers, no exposure to scented soaps/perfumes/deodorants, breastfed, at least 30min since last feeding",Hamamatsu,NIRO 300,1,2,30,7,0,0,0,23,23,1,1,0.233333333,0.233333333,NA,NA
13,13,4/21/20,"Begus, K.; Lloyd-Fox, S.; Halliday, D.; Papademetriou, M.; Darboe, M. K.; Prentice, A. M.; Moore, S. E.; Elwell, C. E.",Using fNIRS to study working memory of infants in rural africa C3 - Advances in Experimental Medicine and Biology,,2016,B,B,Feasibility of using fNIRS to assess cognitive development (working memory) of infants from rural West Africa,A,A ,"B,C ",AV,moving,"A,D, I (object and box)",B,A,lab,awake,"Baseline images + trial video (actor picks up object, hides it in box (occlusion for 3s or 6s), then retrieves it)",D,A,Not reported ,NA,Not reported ,NA,Not reported ,Not reported ,NA,435.2 days ,14.51,12 to 16,12 to 16,non-newborn,Not reported ,NA,Rural West African,full-term,td_risk,"full-term, normal birth weight, normal head circumference",Custom-built,Not reported ,4,12,39,11,0,4,0,24,24,1,1,0.384615385,0.282051282,NA,0.102564103
14a,14,4/21/20,"Behrendt, H. F.; Firk, C.; Nelson, C. A., 3rd; Perdue, K. L.",Motion correction for infant functional near-infrared spectroscopy with an application to live interaction data,Neurophotonics,2018,I - Motion artifacts during fNIRS recording,I - Motion artifacts during fNIRS recording,Motion correction for fNIRS recording,A,A,A,V,static,I (videos of toys),A,"A,C,D",hospital,awake,Video group (2min video of infant toys),"A,D",D - motion artifacts,1,1,120,120,Not reported,2min,120,152 days,5.07,5,5,non-newborn,9,0.45,None,full-term,td,"full-term, typically developing, no prenatal or perinatal complications",Hitachi,ETG 4000 ,15,46,Not reported,NA,Not reported,Not reported,Not reported,20,20,0,0,NA,NA,NA,NA
14b,14,4/21/20,"Behrendt, H. F.; Firk, C.; Nelson, C. A., 3rd; Perdue, K. L.",Motion correction for infant functional near-infrared spectroscopy with an application to live interaction data,Neurophotonics,2018,I - Motion artifacts during fNIRS recording,I - Motion artifacts during fNIRS recording,Motion correction for fNIRS recording,A,A,A,V,static,I (videos of toys),A,"A,C,D",hospital,awake,Video group (2min video of infant toys),"A,D",D - motion artifacts,1,1,120,120,Not reported,2min,120,213.15 days,7.11,7,7,non-newborn,9,0.45,None,full-term,td,"full-term, typically developing, no prenatal or perinatal complications",Hitachi,ETG 4000 ,15,46,Not reported,NA,Not reported,Not reported,Not reported,20,20,0,0,NA,NA,NA,NA
